item,read,humqwk,study,qwk,token,model,training,ftune,implementation,logsize,gpt,nvocab,vocab,size,base
1,0,0.95,jiang_bosch_2024,0.715,bpe,gpt4,prompt_engineer,0,gpt4_prompt_scoring_examples,3.24551266781415,1,100000,1,1760000000000,gpt4
1,0,0.95,jiang_bosch_2024,0.63,bpe,gpt4,prompt_engineer,0,gpt4_co_t,3.24551266781415,1,100000,1,1760000000000,gpt4
1,0,0.95,jiang_bosch_2024,0.66,bpe,gpt4,multiprompt,0,gpt4_multihop_co_t,3.24551266781415,1,100000,1,1760000000000,gpt4
1,0,0.95,jiang_bosch_2024,0.584,bpe,gpt4,prompt_engineer,0,gpt4_prompt_only,3.24551266781415,1,100000,1,1760000000000,gpt4
1,0,0.95,jiang_bosch_2024,0.635,bpe,gpt4,prompt_engineer,0,gpt4_score_rationale,3.24551266781415,1,100000,1,1760000000000,gpt4
1,0,0.95,jiang_bosch_2024,0.63,bpe,gpt4,prompt_engineer,0,gpt4_rationale_score,3.24551266781415,1,100000,1,1760000000000,gpt4
1,0,0.95,ormerod_kwako_2024,0.57,bpe,mist,prompt_engineer,0,mistral_7b_instruct,0.859738566197147,1,32000,0.32,7240000000,mist7
1,0,0.95,ormerod_kwako_2024,0.864,bpe,mist,LORA_fine-tune+prompt,1,mistral_7b_instruct,0.859738566197147,1,32000,0.32,7240000000,mist7
1,0,0.95,ormerod_kwako_2024,0.315,bpe,gem,prompt_engineer,0,gemma_1_1_7b_it,0.931457870689005,1,256000,2.56,8540000000,gem
1,0,0.95,ormerod_kwako_2024,0.859,bpe,gem,LORA_fine-tune+prompt,1,gemma_1_1_7b_it,0.931457870689005,1,256000,2.56,8540000000,gem
1,0,0.95,ormerod_kwako_2024,0.427,bpe,lla,prompt_engineer,0,meta_llama_3_8b_instruct,0.9047155452786808,1,128000,1.28,8030000000,lla
1,0,0.95,ormerod_kwako_2024,0.878,bpe,lla,LORA_fine-tune+prompt,1,meta_llama_3_8b_instruct,0.9047155452786808,1,128000,1.28,8030000000,lla
1,0,0.95,ormerod_kwako_2024,0.452,bpe,phi,prompt_engineer,0,phi_3_mini_4k_instruct,0.5820633629117087,1,32000,0.32,3820000000,phi
1,0,0.95,ormerod_kwako_2024,0.864,bpe,phi,LORA_fine-tune+prompt,1,phi_3_mini_4k_instruct,0.5820633629117087,1,32000,0.32,3820000000,phi
1,0,0.95,ormerod_2022,0.843,uni,alb,fine-tune_all_parms,1,enc_al_bert_xx_l,-0.6536470255493614,0,30000,0.3,222000000,alb
1,0,0.95,ormerod_2022,0.826,wp,bert,fine-tune_all_parms,1,enc_bert_l,-0.4749551929631547,0,31000,0.31,335000000,bertL
